Monument;Latitude;Longitude;Nb_visitors;Year;URL
Eiffel Tower;48.858370;2.294481;6700000;2010;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;2985510;2010;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3130000;2010;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;13650000;2010;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2010;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1508000;2010;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;8346361;2010;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA
Eiffel Tower;48.858370;2.294481;7086273;2011;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;3144449;2011;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3611693;2011;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;13650000;2011;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2011;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1583107;2011;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;8840699;2011;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA
Eiffel Tower;48.858370;2.294481;6270000;2012;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;3579130;2012;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3800000;2012;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;13650000;2012;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2012;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1732280;2012;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;9660609;2012;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA
Eiffel Tower;48.858370;2.294481;6740000;2013;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;3467320;2013;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3745000;2013;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;14000000;2013;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2013;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1775054;2013;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;9201157;2013;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA
Eiffel Tower;48.858370;2.294481;7097302;2014;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;3480609;2014;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3450000;2014;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;14000000;2014;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2014;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1751046;2014;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;9134612;2014;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA
Eiffel Tower;48.858370;2.294481;7097302;2015;https://www.google.com/culturalinstitute/beta/exhibit/AQIjquQC
Orsay Museum;48.859961;2.326561;3480609;2015;https://www.google.com/culturalinstitute/beta/exhibit/ARK7SK5T?hl=en
Centre Georges Pompidou;48.860642;2.352245;3450000;2015;http://www.cicerone360.com/panoramiques/parisbeaubourg/parisbeaubourg.html
Notre-Dame-de-Paris Cathedral;48.852968;2.349902;14000000;2015;http://www.panoramique-360.com/visite-virtuelle-2010/eglise-notre-dame.html
Basilique du Sacre Coeur;48.886705;2.343104;10500000;2015;http://www.sacre-coeur-montmartre.com/english/visit-and-audio-guide/article/panoramic-virtual-tour-of
Triumph Arch;48.873792;2.295028;1751046;2015;http://www.be-360.fr/000013
Museum of Louvre;48.860611;2.337644;9134612;2015;http://musee.louvre.fr/visite-louvre/index.html?lang=FRA